order_id,order_item_id,courier_code,over_ride
402-6963215-8453149,50010964480682,IMILEUAE,
404-1432224-9083536,50180232112962,IMILEUAE,
407-7857796-3246746,50179593947642,IMILEUAE,
403-7485250-1110764,50177520423042,IMILEUAE,
403-4901037-9814737,50178344392322,IMILEUAE,
404-3801574-2212360,50177451281842,IMILEUAE,
403-4811628-2719566,50179148854882,IMILEUAE,
407-8201904-1332321,50181623873322,IMILEUAE,
408-5214733-1924338,50180056329082,IMILEUAE,
402-8563602-5961952,50178435260322,IMILEUAE,
407-3619907-9581102,50182706447282,IMILEUAE,
402-8271444-0339568,50180344293802,IMILEUAE,
403-8410336-7311553,50178913250682,IMILEUAE,
404-6794115-0630710,50175274327962,IMILEUAE,
405-9624825-7398750,50182602983842,IMILEUAE,
406-5637761-5886704,50179131903722,IMILEUAE,
406-9497790-0402701,50180828658522,IMILEUAE,
402-2462700-7224336,50180726203122,IMILEUAE,
171-0036697-5707502,50178947062522,IMILEUAE,
406-3086994-9081919,50176447429842,IMILEUAE,
408-9130150-1817159,50181358541602,IMILEUAE,
404-6863651-8146735,50179679158162,IMILEUAE,
403-1649862-3119512,50176349137722,IMILEUAE,
406-7792967-0500349,50178801273002,IMILEUAE,
404-1618793-2472305,50177443295922,IMILEUAE,
402-1776428-3941941,50181809159282,IMILEUAE,
404-6277223-8406714,50179343898882,IMILEUAE,
408-3311617-0284336,50177221170322,IMILEUAE,
403-8919611-8277960,50181473637962,IMILEUAE,
408-6953377-5289119,50181094830242,IMILEUAE,
402-7591388-1979556,50179669444602,IMILEUAE,
403-7171008-0475504,50181623212162,IMILEUAE,
405-7211669-6029106,50182509733402,IMILEUAE,
404-1323455-0338746,50176491457682,IMILEUAE,
407-8081423-9267551,50181720916082,IMILEUAE,
405-0259956-2998753,50181111852202,IMILEUAE,
404-6546120-1255555,50178977206522,IMILEUAE,
405-4349515-2369109,50164490090522,IMILEUAE,
406-3666660-5946750,50173186270682,IMILEUAE,
404-0367467-8325115,50168712783442,IMILEUAE,
405-0716566-5884349,50176578212802,IMILEUAE,
404-5644853-3142741,50168571151682,IMILEUAE,
407-4927233-3543502,50165439964602,IMILEUAE,
406-2361505-3025918,50165686656562,IMILEUAE,
408-9831238-6210768,50164489184722,IMILEUAE,
408-3486426-8094702,50173860529242,IMILEUAE,
408-3703161-0001959,50168565233442,IMILEUAE,
